34946	34373	34146	33684	32867	32242	31222	30238	29554	29433	29390	29828	30779	32075	33187	34071	34019	31349	7320	21595	31449	36942	40640	43782	46248	48040	49487	50650	51600	52548	53290	54325	55047	54860	53999	52369	50250	47394	44392	41531	39059
37454	36292	35432	34780	34059	33139	31888	30710	30195	29898	29965	30449	31614	32917	34275	35477	35874	33846	13731	21595	32245	37969	42015	44928	47415	49525	51080	52441	53754	54899	56021	56842	57125	56326	53955	50694	46952	42757	39399	36899	35257
33997	33326	32831	32041	31104	29794	28185	26768	25477	24561	23904	23523	23682	24134	24727	25114	25176	23812	10933	11513	21273	25730	28776	31319	32675	10569	21142	32979	39236	43727	47206	49505	50545	50249	48352	45336	41820	38385	35884	33875	32858
32710	32667	32460	31969	31297	29940	28522	27018	25670	24453	23924	23782	23809	24252	24673	24990	25227	24172	12646	2314	16977	24070	27726	30317	32484	34686	37255	39978	42498	45206	47273	49068	50022	49801	47953	45137	41811	38576	35551	33410	32515
32322	32440	32466	32329	31622	30412	29063	27555	26005	24889	24077	23598	23392	23546	23906	24389	24598	23552	15077	8747	19454	24594	27597	29838	31915	34157	36639	38990	41442	43991	46241	47958	48978	48829	47428	44932	41876	38571	35740	33803	32531
31652	31493	31206	30554	29411	28046	26629	25432	24502	23674	23227	23234	23212	23449	23681	24112	23440	18018	6054	17916	23624	26832	29255	31256	33430	35858	38394	40962	43079	44964	46870	48256	48344	47337	45160	42032	38955	35912	33906	32460	31771
31641	31545	31311	30829	30096	29091	27748	26547	25366	24644	24295	24215	24400	24722	25028	25350	24817	22007	569	0	1007	19273	27616	31580	34503	36701	38871	40722	42527	44289	45747	46714	47354	47291	46466	44751	42630	40088	37903	35952	34500
33429	32849	32930	32679	32378	31811	31088	30314	29856	29386	28381	29926	30450	31348	32155	32734	32486	29813	9952	21628	30337	35421	38846	41630	43679	45561	47048	48311	49394	50381	51240	52322	52997	53013	52359	50816	48715	45911	43024	40245	38099
35765	35056	34409	33797	33266	32571	31771	30943	30264	30154	30318	30971	32004	33304	34564	35632	35731	33439	13149	21510	31527	37229	41203	43979	46321	48342	49944	51319	52688	54203	55343	56438	56823	56564	55080	52809	49540	45998	42924	39834	37538
34673	33885	34708	33713	33195	32472	31941	30512	29533	29398	28835	29178	29384	29767	30430	31124	30291	28459	16916	19850	24963	31006	34593	37073	39835	41867	44215	45944	48051	49316	50772	52858	52746	52438	51502	48929	45989	43149	40519	37787	36726
